country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gambia,,,,,,,,,,,,,,,,,,,,,,,,728000,847000,1240000,1050000,1390000,2160000,2720000,3460000,4000000,3500000,2560000,2320000,2890000,3930000,4180000,4050000,3520000,3320000,2450000,2260000,2000000,1930000,2990000,2790000,4550000,17200000,7100000,,,11200000,10400000,14600000,14300000,,,11500000
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67700000,44000000,41100000,25900000,18800000,23800000,34000000,42600000,70400000,214000000,404000000,932000000,1090000000,604000000,454000000,469000000,492000000,442000000,416000000,300000000,315000000,308000000,317000000
Germany,2880000000,3270000000,4310000000,4980000000,4890000000,4980000000,5060000000,5350000000,4830000000,5470000000,6170000000,7260000000,9010000000,11900000000,13800000000,15300000000,15500000000,17300000000,21400000000,24800000000,26700000000,23100000000,22300000000,22100000000,20100000000,19900000000,27700000000,34100000000,35100000000,33600000000,42300000000,39500000000,42000000000,37200000000,36300000000,41200000000,39000000000,33200000000,33100000000,32600000000,28100000000,27400000000,29300000000,35100000000,38000000000,38100000000,38100000000,42600000000,48100000000,47500000000,46300000000,48100000000,46500000000,45900000000,46100000000,39800000000,41600000000,45400000000,49500000000
Ghana,20800000,27500000,27900000,31100000,33300000,35600000,47300000,,44300000,49000000,46900000,41100000,30200000,41100000,64100000,78800000,89000000,122000000,101000000,66400000,121000000,196000000,170000000,71100000,44600000,63200000,51700000,43300000,22800000,22600000,27600000,41400000,41700000,41000000,37800000,49100000,44400000,45500000,57500000,59300000,50900000,32400000,37000000,53200000,56400000,64200000,75700000,126000000,114000000,118000000,122000000,234000000,337000000,255000000,253000000,191000000,162000000,189000000,218000000
Greece,170000000,168000000,170000000,179000000,188000000,210000000,239000000,313000000,367000000,425000000,474000000,516000000,574000000,675000000,1050000000,1430000000,1560000000,1840000000,2120000000,2420000000,2280000000,2580000000,2640000000,2200000000,1990000000,1930000000,2000000000,2400000000,2750000000,2560000000,3190000000,3150000000,3620000000,3360000000,3590000000,4180000000,4610000000,4570000000,4820000000,5010000000,4560000000,4430000000,4730000000,5040000000,6270000000,7030000000,7610000000,8530000000,10600000000,10600000000,8160000000,7130000000,5910000000,5660000000,5530000000,4820000000,4960000000,5090000000,5230000000
Guatemala,12100000,12100000,12000000,14800000,13000000,18600000,19100000,21200000,20400000,17600000,32300000,22200000,24000000,23400000,28400000,44900000,55500000,75200000,71700000,90200000,104000000,163000000,177000000,184000000,207000000,224000000,141000000,124000000,147000000,152000000,132000000,119000000,154000000,144000000,153000000,158000000,141000000,132000000,140000000,124000000,158000000,197000000,158000000,179000000,115000000,104000000,131000000,136000000,166000000,147000000,170000000,197000000,224000000,250000000,246000000,252000000,291000000,275000000,278000000
Guinea,,,,,,10500000,13900000,,14200000,14700000,15100000,26300000,31700000,36100000,,,,,85200000,71000000,60300000,52500000,52300000,,,,,,,,,71800000,55700000,44000000,45900000,,,44400000,45000000,55200000,46000000,87700000,98100000,84100000,81000000,,,,,,,,169000000,197000000,197000000,221000000,162000000,199000000,209000000
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,9410000,18100000,6470000,4650000,6130000,3880000,,4430000,,,,,2020000,2210000,1900000,1820000,2900000,,9530000,6180000,6360000,7510000,,12100000,,,,13700000,17100000,17500000,24500000,21700000,21500000,17000000,,,
Guyana,,,,,,,,,,,,,,5030000,11100000,32400000,34000000,24300000,17300000,17200000,21900000,22400000,24700000,22100000,20700000,39000000,27800000,10600000,11000000,6020000,3590000,2030000,3630000,4440000,5490000,5690000,5560000,,,,12600000,14400000,16700000,16300000,22100000,18500000,19200000,25000000,30500000,31100000,31100000,32400000,33500000,35200000,39300000,46400000,51600000,59700000,59800000
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970000,2230000,2670000,2620000,1740000,1650000,1600000,2480000,,,,,,,,,,,,,,,,,,51600,53500,73600,64500,73600,79700
